ds,values,forecast
2019-01-01,11.86852,0
2019-02-01,11.67305,0
2019-03-01,11.912653,0
2019-04-01,12.148594,0
2019-05-01,12.153654,0
2019-06-01,12.218216,0
2019-07-01,11.902106,0
2019-08-01,12.486233,0
2019-09-01,12.590317,0
2019-10-01,12.809474,0
2019-11-01,13.000326,0
2019-12-01,12.977876,0
2020-01-01,12.852266,0
2020-02-01,12.842024,0
2020-03-01,12.796559,0
2020-04-01,11.913743,0
2020-05-01,9.713071,0
2020-06-01,10.442492,0
2020-07-01,11.005949,0
2020-08-01,10.576601,0
2020-09-01,10.920753,0
2020-10-01,10.457432,0
2020-11-01,11.195551,0
2020-12-01,11.1685,0
2021-01-01,11.124063,0
2021-02-01,9.924674,0
2021-03-01,11.325869,0
2021-04-01,11.304722,0
2021-05-01,11.355992,0
2021-06-01,11.356417,0
2021-07-01,11.346986,0
2021-08-01,11.277405,0
2021-09-01,10.917534,0
2021-10-01,11.568579,0
2021-11-01,11.790052,0
2021-12-01,11.634403,0
2022-01-01,11.369338,0
2022-02-01,11.316119,0
2022-03-01,11.700795,0
2022-04-01,11.668387,0
2022-05-01,11.629127,0
2022-06-01,11.797257,0
2022-07-01,11.844011,0
2022-08-01,12.002495,0
2022-09-01,12.311849,0
2022-10-01,12.381356,0
2022-11-01,12.380810507,0
2022-12-01,11.920910948,0
2023-01-01,12.35465,1
2023-02-01,12.37652,1
2023-03-01,12.39013,1
2023-04-01,12.39254,1
2023-05-01,12.31802,1
2023-06-01,12.31431,1
2023-07-01,12.35787,1
2023-08-01,12.41075,1
2023-09-01,12.43362,1
2023-10-01,12.36115,1
2023-11-01,12.57146,1
2023-12-01,12.60382,1
2024-01-01,12.58701,1
2024-02-01,12.63427,1
2024-03-01,12.66222,1
2024-04-01,12.72288,1
2024-05-01,12.70548,1
2024-06-01,12.71987,1
2024-07-01,12.80203,1
2024-08-01,12.87108,1
2024-09-01,12.91022,1
2024-10-01,12.85433,1
2024-11-01,13.06834,1
2024-12-01,13.15428,1
